UPRN,Unique Asset ID,Name of Building/Land,"Street
No.",Street Name,Locality,Postal Town,Postcode,Easting,Northing,Ownership,"occupied by
local
authority*
(physical
occupation
of the","ground
leasehold",leasehold,Licence,vacant,Other,"Land or land &
building"
200003108530,KIN/CP/01,High Street car park,,High Street,Kings Stanley,Stonehouse,GL10 3,X: 381122,Y: 203491,Freehold,,,,,,,Land
100121373605,MIN/CP/01,Friday Street car park,,Friday Street,Minchinhampton,Stroud,GL6 9JW,X: 370946,Y: 210957,Freehold,,,,,,,Land
10014281914,NAI/CP/08,Old Market (lay by) car park,,Old Market,Nailsworth,Stroud,GL6 ODU,X: 384971,Y: 199681,Freehold,,,,,,,Land
10014283585,NAI/CP/05,Old Market (East) car park,,Old Market,Nailsworth,Stroud,GL6 ODU,X: 384921,Y: 199508,Freehold,,,,,,,Land
10014280620,NAI/CP/03,Old Market (West) car park,,Old Market,Nailsworth,Stroud,GL6 ODU,X: 384891,Y: 199588,Freehold,,,,,,,Land
100121373696,NAI/CP/02,Newmarket car park,,New Market Road,Nailsworth,Stroud,GL6 0,X: 384763,Y: 199463,Freehold,,,,,,,Land
100121373710,NAI/CP/06,Bus Station car park,,Old Market,Nailsworth,Stroud,GL6 0DU,X: 384932,Y: 199619,Freehold,,,,,,,Land
10014283584,NAI/CP/01,Old Town Hall/Comrades Club car park,,Old Bristol Road,Nailsworth,Stroud,GL6 0JE,X: 384926,Y: 199369,Freehold,,,,,,,Land
200003117317,PAI/CP/01,Stamages Lane car park,,Stamages Lane,Painswick,Stroud,GL6 6UU,X: 386538,Y: 209528,Freehold,,,,,,,Land
10014283586,RAN/CP/01,Woodcutters car park,,Church Road,Randwick,Stroud,GL6 6JA,X: 382958,Y: 206839.,Freehold,,,,,,,Land
10014283587,ROD/CP/01,Butterow car park,,Butterow West,Rodborough,Stroud,GL5 3,X: 384731,Y: 204419,Freehold,,,,,,,Land
200003108827,STO/CP/01,High Street car park,,High Street,,Stonehouse,GL10 2N,X: 380604,Y: 205436,Freehold,,,,,,,Land
10001166271,WOT/CP/01,The Chipping car park,,The Chipping,,Wotton-Under-Edge,GL12 7BD,X: 375704,Y: 193154,Leasehold,,,Lease in,,,,Land
10001169057,WOT/CP/02,Potters Pond car park,,Potters Pond,,Wotton-Under-Edge,GL12 7HF,X: 375990,Y: 193289,Freehold,,,,,,,Land
10014283591,CAM/CO/01,Cam Peak & Long Down,,Springhill,Cam,Dursley,,X: 377343,Y: 199520,Freehold,,,,,,Management agreement in place,Land
,CAM/WO/01,Access to Sheep Path Woods,,Dursley Road,,Dursley,,X:374675,Y:198954,Freehold,,,,,,Management agreement in place,Land
10014283588,DUR/WO/01,Cockshoot Wood,,Hill Road,,Dursley,,X: 374922,Y: 198185,Freehold,,,,,,Management agreement in place,Land
10001169192,THR/WO/01,Stringers Wood,,Quarhouse Lane,Thrupp,Stroud,,X: 387341,Y: 202896,Freehold,,,,,,Management agreement in place,Land
10014283590,ULE/WO/01,Uley Woods & Bury,,Fop Street,Uley,Dursley,,X: 378254,Y: 198565,Freehold,,,,,,Management agreement in place,Land
,WOT/CO/01,Bradley Green,,Bradley Green,,Wotton-Under-Edge,,X: 374603,Y:193446,Other,,,,,,Trust,Land
10001168662,KIN/MI/01,Selsley Common,,Selsley Hill,Kings Stanley,Stonehouse,,X: 382838,Y:202963,Other,,,,,,Trust,Land
,HIL/MI/00,Assley & Hareley Common,,,Hillsley,Wotton-Under-Edge,,X:375730,Y:189363,Other,,,,,,Trust,Land
200003110273,STR/OF/01/02,Office 2 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003109515,STR/OF/01/03,Office 3 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003110273,STR/OF/01/04,Office 4 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003109516,STR/OF/01/05,Office 5 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003110273,STR/OF/01/06,Office 6 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003109895,STR/OF/01/07,Office 7 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003109971,STR/OF/01/08,Office 8 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003109572,STR/OF/01/09,Office 9 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,Lease out,,,,Land & buildings
200003109517,STR/OF/01,General Meeting Room Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,,,,,Land & buildings
,STR/OF/01/11,Store 1 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,,Licence out,,,Land & buildings
,STR/OF/01/11,Store 2 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,,Licence out,,,Land & buildings
,STR/OF/01/11,Store 3 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,,Licence out,,,Land & buildings
10014280671,STR/OF/01/11,Store 4 Old Town Hall,,High Street,,Stroud,GL5 1AP,X:385224,Y:205224,Freehold,,,,Licence out,,,Land & buildings
100121253988,STR/MA/01,The Shambles,,High Street,,Stroud,GL5 1AP,X:385211,Y:205222,Freehold,,,,,,,Land
100121374372,STR/MA02,Cornhill Market,,Union Street,,Stroud,GL5 2HE,X:385211,Y:205084,Leasehold,,,,Licence out,,,Land & buildings
200003103845,STR/SH/01/01,Unit 1 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
200003122275,STR/SH/01/02,Unit 2 Brunel Mall,,London Road,,Stroud,GL5 2BP,X:385184,Y:204991,Freehold,,,Lease out,,,,Land & buildings
